Years,Finalist,Winner,Outstanding Comedy Series,Outstanding Drama Series
2020,Succession,1,0,2
2020,Schitt's Creek,1,2,0
2019,Game of Thrones,1,0,2
2019,Fleabag,1,2,0
2018,Game of Thrones,1,0,2
2018,The Marvelous Mrs. Maisel,1,2,0
2017,The Handmaid's Tale,1,0,2
2017,Veep,1,2,0
2016,Game of Thrones,1,0,2
2016,Veep,1,2,0
2015,Game of Thrones,1,0,2
2015,Veep,1,2,0
2014,Breaking Bad,1,0,2
2014,Modern Family,1,2,0
2013,Breaking Bad,1,0,2
2013,Modern Family,1,2,0
2012,Homeland,1,0,2
2012,Modern Family,1,2,0
2011,Mad Men,1,0,2
2011,Modern Family,1,2,0
2010,Mad Men,1,0,2
2010,Modern Family,1,2,0
2009,Mad Men,1,0,2
2009,30 Rock,1,2,0
2008,Mad Men,1,0,2
2008,30 Rock,1,2,0
2007,The Sopranos,1,0,2
2007,30 Rock,1,2,0
2006,24,1,0,2
2006,The Office,1,2,0
2005,Lost,1,0,2
2005,Everybody Loves Raymond,1,2,0
2004,The Sopranos,1,0,2
2004,Arrested Development,1,2,0
2003,The West Wing,1,0,2
2003,Everybody Loves Raymond,1,2,0
2002,Friends,1,2,0
2002,The West Wing,1,0,2
2001,Sex and the City,1,2,0
2001,The West Wing,1,0,2
2000,Will & Grace,1,2,0
2000,The West Wing,1,0,2
1999,Ally McBeal,1,2,0
1999,The Practice,1,0,2
1998,Frasier,1,2,0
1998,The Practice,1,0,2
1997,Frasier,1,2,0
1997,Law & Order,1,0,2
1996,Frasier,1,2,0
1996,ER,1,0,2
1995,Frasier,1,2,0
1995,NYPD Blue,1,0,2
1994,Frasier,1,2,0
1994,Picket Fences,1,0,2
1993,Seinfeld,1,2,0
1993,Picket Fences,1,0,2
1992,Murphy Brown,1,2,0
1992,Northern Exposure,1,0,2
1991,Cheers,1,2,0
1991,L.A. Law,1,0,2
1990,Murphy Brown,1,2,0
1990,L.A. Law,1,0,2
1989,Cheers,1,2,0
1989,L.A. Law,1,0,2
1988,The Wonder Years,1,2,0
1988,Thirtysomething,1,0,2
1987,The Golden Girls,1,2,0
1987,L.A. Law,1,0,2
1986,The Golden Girls,1,2,0
1986,Cagney & Lacey,1,0,2
1985,The Cosby Show,1,2,0
1985,Cagney & Lacey,1,0,2
1984,Cheers,1,2,0
1984,Hill Street Blues,1,0,2
1983,Cheers,1,2,0
1983,Hill Street Blues,1,0,2
1982,Barney Miller,1,2,0
1982,Hill Street Blues,1,0,2
1981,Taxi,1,2,0
1981,Hill Street Blues,1,0,2
1980,Taxi,1,2,0
1980,Lou Grant,1,0,2
1979,Taxi,1,2,0
1979,Lou Grant,1,0,2
1978,All in the Family,1,2,0
1978,The Rockford Files,1,0,2
1977,The Mary Tyler Moore Show,1,2,0
1977,"Upstairs, Downstairs",1,0,2
